Collection,Datetime_updated_seconds,Price_USD
Axie,2018-12-06 21:10:14,2.578012204282408
Axie,2018-12-06 21:09:46,2.172290851273148
Axie,2018-12-06 21:09:49,2.403908564814816
Axie,2018-12-06 20:01:46,140.72975
Axie,2018-12-06 19:37:29,194.11
Axie,2018-12-06 16:06:10,10.240931316550926
Axie,2018-12-06 15:15:17,3.6609280798611112
Axie,2018-12-06 15:12:50,2.9116500000000003
Axie,2018-12-06 15:09:32,3.882200000000001
Axie,2018-12-06 14:02:01,3.379176516203704
Axie,2018-12-06 11:08:03,2.9116500000000003
Axie,2018-12-06 10:46:01,2.8730189646990745
Axie,2018-12-06 10:38:15,2.876798942418981
Axie,2018-12-06 09:00:25,2.789850468287037
Axie,2018-12-06 08:54:46,9.7055
Axie,2018-12-06 08:09:55,12.61715
Axie,2018-12-06 05:35:46,3.882200000000001
Axie,2018-12-06 05:34:18,6.793850000000001
Axie,2018-12-06 05:22:29,8.73495
Axie,2018-12-06 05:11:39,14.55825
Axie,2018-12-06 01:03:22,125.9625621527778
Axie,2018-12-06 01:01:08,24.19668769097223
Axie,2018-12-06 00:52:39,2.909347190393518
Axie,2018-12-06 00:00:32,3.882200000000001
Axie,2018-12-05 23:57:51,3.101161107349537
Axie,2018-12-05 23:31:12,2.828073599247685
Axie,2018-12-05 20:00:26,5.146750000000001
Axie,2018-12-05 19:18:28,5.1364565
Axie,2018-12-05 18:13:52,2.9425590023148147
Axie,2018-12-05 15:36:30,2.999661717013889
Axie,2018-12-05 15:34:33,2.896285907407408
Axie,2018-12-05 15:04:48,6.310803076099536
Axie,2018-12-05 14:50:21,2.9125601215277777
Axie,2018-12-05 11:50:14,3.5935847532407417
Axie,2018-12-05 05:58:58,128.66875
Axie,2018-12-05 05:00:41,5.043815
Axie,2018-12-05 03:57:04,4.506646796296296
Axie,2018-12-05 03:31:27,360.2725000000001
Axie,2018-12-05 02:25:34,3.049747219328704
Axie,2018-12-05 02:24:38,2.8356328883101853
Axie,2018-12-05 02:24:05,2.5733750000000004
Axie,2018-12-05 01:33:46,3.847320719618056
Axie,2018-12-05 00:08:06,10.190565000000005
Axie,2018-12-04 23:17:26,4.3961820000000005
Axie,2018-12-04 22:58:16,5.509
Axie,2018-12-04 20:24:45,15.135467407407408
Axie,2018-12-04 19:18:17,3.3054
Axie,2018-12-04 18:35:48,4.409253122685184
Axie,2018-12-04 17:56:20,10.907820000000005
Axie,2018-12-04 17:01:54,3.4548571296296298
Axie,2018-12-04 16:54:30,16.527
Axie,2018-12-04 16:52:13,2.154720377314815
Axie,2018-12-04 14:59:17,4.4072000000000005
Axie,2018-12-04 14:26:02,2.744891130787037
Axie,2018-12-04 13:28:04,11.205459027777776
Axie,2018-12-04 13:24:32,8.927181472222221
Axie,2018-12-04 13:10:10,11.356000104166664
Axie,2018-12-04 12:53:21,3.3054
Axie,2018-12-04 11:48:15,11.906071203703709
Axie,2018-12-04 11:04:35,14.513409490740743
Axie,2018-12-04 11:00:17,4.4072000000000005
Axie,2018-12-04 10:53:10,5.679294412037038
Axie,2018-12-04 10:45:02,5.509
Axie,2018-12-04 09:11:36,5.333477138888889
Axie,2018-12-04 08:18:19,9.59516047453704
Axie,2018-12-04 04:13:28,3.3054
Axie,2018-12-04 04:12:23,2.888877517361111
Axie,2018-12-04 01:40:36,11.018
Axie,2018-12-04 01:40:10,10.907820000000005
Axie,2018-12-03 18:32:36,10.8595
Axie,2018-12-03 18:32:34,10.8595
Axie,2018-12-03 17:43:58,2.714875
Axie,2018-12-03 15:06:28,4.307858071527779
Axie,2018-12-03 13:27:02,3.8427924427083338
Axie,2018-12-03 13:07:22,7.857112196180554
Axie,2018-12-03 10:20:48,3.8909776404542833
Axie,2018-12-03 08:51:03,3.821909272280093
Axie,2018-12-03 08:22:29,12.889413713348766
Axie,2018-12-03 08:02:03,10.8595
Axie,2018-12-03 05:16:19,12.200692241030092
Axie,2018-12-03 05:14:04,12.204858820023148
Axie,2018-12-03 05:14:02,12.205267308159726
Axie,2018-12-03 05:06:37,12.251508165219908
Axie,2018-12-03 03:13:13,16.28925
Axie,2018-12-03 03:04:18,21.719
Axie,2018-12-03 00:58:08,3.7338455144675926
Axie,2018-12-02 20:26:01,5.5822885312500015
Axie,2018-12-02 18:34:43,3.49515
Axie,2018-12-02 18:26:06,16.495489875
Axie,2018-12-02 17:38:45,15.124494941964285
Axie,2018-12-02 15:43:26,17.38985453125
Axie,2018-12-02 15:18:39,52.42725
Axie,2018-12-02 14:13:05,6.9903
Axie,2018-12-02 06:23:34,5.8252500000000005
Axie,2018-12-02 04:10:28,13.61706125
Axie,2018-12-02 04:10:28,17.475749999999998
Axie,2018-12-02 02:33:01,11.6505
Axie,2018-12-02 01:28:44,4.30170440625
Axie,2018-12-02 01:16:57,4.30952534375
Axie,2018-12-02 01:13:10,4.313907765625
Axie,2018-12-02 00:49:47,11.533995
Axie,2018-12-02 00:48:50,2.912625
Axie,2018-12-01 23:44:06,5.9375
Axie,2018-12-01 23:02:59,4.75
Axie,2018-12-01 20:16:19,2.96875
Axie,2018-12-01 19:53:51,14.219694010416667
Axie,2018-12-01 19:27:12,4.838540219907409
Axie,2018-12-01 18:30:13,2.96875
Axie,2018-12-01 17:22:20,7.125
Axie,2018-12-01 17:21:49,5.175562065972222
Axie,2018-12-01 15:37:11,23.75
Axie,2018-12-01 15:25:20,4.049590326003087
Axie,2018-12-01 11:10:07,13.90339156539352
Axie,2018-12-01 09:24:24,3.532145905671297
Axie,2018-12-01 08:51:53,5.912760416666668
Axie,2018-12-01 08:32:00,3.5561639178240743
Axie,2018-12-01 08:20:07,4.745381944444444
Axie,2018-12-01 00:22:19,17.8125
Axie,2018-12-01 00:14:56,59.37499999999999
Axie,2019-01-31 23:56:09,10.728000000000002
Axie,2019-01-31 23:36:08,3.2184
Axie,2019-01-31 23:15:55,2.7213422083333336
Axie,2019-01-31 23:10:49,2.099434833333333
Axie,2019-01-31 22:24:04,5.3532720000000005
Axie,2019-01-31 22:14:26,2.7603988333333342
Axie,2019-01-31 22:11:20,2.4741356875
Axie,2019-01-31 22:07:05,3.137532329791667
Axie,2019-01-31 22:05:41,2.6820000000000004
Axie,2019-01-31 21:57:19,5.723065166666667
Axie,2019-01-31 21:05:51,2.2497075416666665
Axie,2019-01-31 21:33:36,2.094791
Axie,2019-01-31 21:33:38,2.1286027920958337
Axie,2019-01-31 21:00:04,1.9190687812500005
Axie,2019-01-31 20:19:00,4.086759583333333
Axie,2019-01-31 20:17:31,38.0844
Axie,2019-01-31 18:58:26,8.5824
Axie,2019-01-31 18:55:30,2.03832
Axie,2019-01-31 18:38:13,4.6183295
Axie,2019-01-31 18:38:13,5.306741428571429
Axie,2019-01-31 18:25:56,2.0221783333333336
Axie,2019-01-31 17:27:26,2.777420220833333
Axie,2019-01-31 17:16:49,34.3296
Axie,2019-01-31 17:07:28,42.72541475000001
Axie,2019-01-31 17:04:31,2.77352325
Axie,2019-01-31 16:55:42,3.3907185
Axie,2019-01-31 16:50:24,3.00030125
Axie,2019-01-31 16:04:36,41.68068055555555
Axie,2019-01-31 15:57:14,134.16804333333332
Axie,2019-01-31 15:50:21,10.728000000000002
